E,PS4,8.5,3.28,2.3,0.37,,0.6,2016,4.1
E,XOne,8.5,3.25,0.92,2.1,,0.24,2015,4.6
M,PS3,8.5,2.9,1.98,0.54,,0.38,2011,8.4
T,PS2,8.5,2.67,1.48,0.92,0.01,0.26,2005,7.3
M,X360,8.5,2.56,1.76,0.55,0.03,0.22,2009,8.4
E,X360,8.5,2.54,2.21,0.12,,0.2,2008,6
M,PS3,8.4,5.43,2.75,1.84,,0.84,2008,7.8
M,PSP,8.4,5.08,1.7,2.03,0.16,1.19,2006,8.4
M,XOne,8.4,5.03,2.94,1.62,0.02,0.45,2015,6.8
E,PS2,8.4,4.11,0.71,2.48,0.03,0.89,2006,8.5
M,PS4,8.4,4.06,1.18,2.14,0.11,0.63,2014,7.8
E,PS2,8.4,3.7,0.58,2.48,0.04,0.59,2004,7.3
T,Wii,8.4,3.62,2.32,0.96,,0.34,2008,7
T,PS2,8.4,3.28,1.5,1.28,0.05,0.46,2003,8.5
T,PS2,8.4,3,1.57,1.02,,0.41,2005,8.2
T,PC,8.4,2.97,1.59,1.01,,0.37,2011,6
E10,PS2,8.4,2.69,1.85,0.64,0.01,0.19,2006,8.7
E,PS4,8.3,11.8,1.27,8.64,0.15,1.73,2017,3.8
E,PS2,8.3,6.9,2.71,3.02,0.08,1.09,2004,8.7
M,XOne,8.3,5.22,3.25,1.49,0.01,0.48,2014,5.8
T,PS2,8.3,4.67,1.94,1.95,0.08,0.7,2002,8
E,NS,8.3,4.57,2.16,1.24,0.82,0.34,2018,6.3
M,PS4,8.3,3.94,1.4,1.74,0.19,0.62,2013,7.2
E,Wii,8.3,3.93,2.11,1.35,0.06,0.4,2009,5.1
M,PS2,8.3,3.54,1.56,1.4,0.07,0.5,2006,7.7
M,X360,8.3,3.48,2.43,0.72,0.03,0.3,2009,7.9
T,XOne,8.3,3.41,2.17,0.92,,0.32,2014,5.5
M,PS4,8.3,3.36,1.24,1.5,0.08,0.54,2016,8.3
M,PS4,8.3,3.19,1.07,1.55,0.06,0.51,2013,8
M,X360,8.3,2.77,1.26,1.14,0.07,0.3,2011,7.7
E,NS,8.3,2.73,1.22,0.8,0.51,0.2,2018,6.4
E,PS3,8.3,2.71,2.12,0.24,,0.36,2012,5.5
T,X360,8.3,2.71,1.47,0.99,,0.25,2010,8.5
E,X360,8.3,2.69,2.38,0.12,,0.19,2010,6.4
E10,NS,8.3,2.59,1.1,1.08,0.22,0.2,2017,8.3
T,PS3,8.3,2.5,1.59,0.54,0.05,0.33,2008,7.9
T,X360,8.3,2.5,2.29,0.02,,0.19,2006,7.9
M,PS3,8.3,2.48,0.86,1.06,0.18,0.37,2011,7.8
E,X360,8.3,2.47,1.38,0.84,0,0.25,2008,7.7
M,X360,8.2,5.55,3.28,1.64,0.07,0.56,2007,7.4
T,PS2,8.2,4.98,3.49,0.01,0.01,1.48,2007,8.6
M,PS3,8.2,4.83,1.91,2.01,0.09,0.82,2007,7.2
E,PS2,8.2,4.48,2.71,1.51,0.03,0.23,2002,7.5
M,X360,8.2,4.08,2.67,1.03,0.04,0.34,2010,8.8
T,PS3,8.2,3.87,1.53,1.61,0.06,0.67,2007,7.3
E,PS2,8.2,3.63,0.05,0,0.64,2.93,2008,7.8
T,PS,8.2,3.54,1.66,1.58,0.12,0.18,1998,8.1
E,PS4,8.2,3.3,2.39,0.31,,0.61,2015,5.8
M,PS3,8.2,3.17,1.54,1.04,0.1,0.49,2010,8.6
T,XB,8.2,2.86,2.09,0.63,0.03,0.11,2002,8.5
M,PS3,8.2,2.81,1.46,0.87,0.09,0.38,2011,8.1
E,PS3,8.2,2.65,0.69,1.4,0.04,0.52,2009,6.7
E,PS4,8.2,2.62,1.73,0.42,,0.47,2017,3.6
T,PS2,8.2,2.52,1.13,1.12,0.06,0.22,2001,7.7
M,PS2,8.2,2.49,1.81,0.52,,0.15,2002,7.7
E,PS4,8.1,6.32,0.83,4.49,0.05,0.94,2014,5.7
T,PS4,8.1,5.07,1.81,1.53,1.05,0.68,2016,7.8
M,PS4,8.1,4.11,1.65,1.68,0.11,0.66,2015,8.1
T,PS2,8.1,3.61,1.93,1.22,0.03,0.44,2004,8.8
E10,PS4,8.1,3.34,2.13,0.57,0.04,0.59,2017,1.8
M,PS2,8.1,3.31,1.99,1.05,0.05,0.22,2001,8.6
T,X360,8.1,2.67,1.58,0.8,0.04,0.25,2009,7.6
M,PS4,8,13.4,4.67,6.21,0.4,2.12,2017,5.2
E10,Wii,8,5.66,3.57,1.57,,0.52,2007,8.7
T,PS3,8,5.35,1.75,1.23,1.87,0.51,2010,6.1
E,PS,8,3.73,1.37,2,0.14,0.22,2001,6.6
M,PS2,8,3.65,2.53,0.81,0.06,0.24,2002,8.4
E,PS2,8,3.49,0.59,2.36,0.04,0.51,2003,6.6
E,XOne,8,3.14,0.98,1.92,,0.23,2017,3.5
E,X360,8,2.93,2.53,0.16,,0.24,2012,5.8
E10,Wii,8,2.79,1.35,1.15,,0.3,2011,6.1
T,X360,8,2.7,1.49,0.92,0.02,0.27,2006,6.6
T,PS2,8,2.58,1.4,0.88,0.03,0.26,2006,8.3
M,X360,7.9,4.22,2.28,1.47,0.04,0.44,2011,7.4
M,PS4,7.9,3.95,1.44,1.73,0.15,0.62,2018,7
E,PS2,7.9,3.53,1.98,1.14,0.01,0.41,2005,8.2
T,PS2,7.9,3.44,1.55,1.27,0.33,0.29,2002,8
T,PS2,7.9,3.41,1.75,1.2,0.02,0.43,2004,8.5
M,X360,7.9,3.07,1.98,0.79,0.02,0.28,2008,8.5
M,X360,7.8,5.1,3.59,1.09,0.05,0.37,2010,6.7
E,DS,7.8,4.77,2.83,1.49,,0.45,2007,7.8
E10,DS,7.8,3.06,1.75,1.02,,0.29,2008,7.2
E,X360,7.8,2.7,2.43,0.11,,0.16,2011,6.2
T,PS2,7.7,4.7,1.73,2.19,,0.79,2003,8.6
M,PS2,7.7,3.54,1.23,1.77,0.05,0.49,2003,7.6
T,PS,7.6,5.24,2.3,2.46,0.2,0.28,1997,8.4
E10,PS3,7.6,3.88,2.15,1.13,0.1,0.5,2010,7.8
E,DS,7.6,3.47,1.21,1.63,0.27,0.37,2009,8
E10,Wii,7.5,10.14,5.95,3.13,,1.06,2011,8
M,PS3,7.5,10.13,4.11,4.01,0.39,1.62,2013,3
M,PS4,7.5,4.17,1.79,1.64,0.05,0.69,2013,4.3
E10,X360,7.5,3.76,2.4,1.01,,0.36,2008,7.7
E10,X360,7.5,3.44,2.07,1.04,,0.34,2008,7
M,XOne,7.5,3.07,1.92,0.86,,0.28,2013,4.5
E10,X360,7.5,3.05,1.91,0.84,,0.29,2008,7.2
T,PC,7.3,3.76,2.03,1.56,,0.17,2002,6.8
E10,Wii,7.3,3.08,1.8,0.98,,0.29,2008,7.7
M,PS4,7.2,2.73,0.63,1.61,0.07,0.41,2016,7
T,PS4,7.1,8.03,3.31,3.19,0.23,1.3,2015,5.1
E10,DS,7.1,3.46,2.1,1.01,0.01,0.35,2008,6.4
T,X360,7.1,2.77,1.74,0.78,,0.26,2008,7
E,PC,7,5.12,3.22,1.69,,0.2,1996,7.4
E,DS,7,5.1,1.63,2.46,0.44,0.57,2008,8
T,PS,7,4.73,2.36,2.1,0.02,0.25,2000,7.5
T,PC,7,4.1,1.2,2.6,,0.3,2014,4.2
E,DS,7,3.14,1.87,0.97,,0.3,2008,7.1
M,PS4,7,3.12,1.07,1.35,0.22,0.47,2017,6.5
T,XOne,6.9,4.15,2.49,1.26,0.02,0.38,2015,4.6
E,DS,6.9,3.58,1.6,1.49,0.1,0.39,2007,8.4
E,DS,6.7,3.66,1.58,1.6,0.08,0.4,2007,6.6
